UF,RR
Cidade,AMAJARI
Nome Posto,TEPEQUEM
Latitude,2.2408333333333332
Longitude,-61.71805555555556
Codigo,8361005
Qtd. Anos,31
Ano,Maxima
1989,85.2
1990,58.3
1991,22.7
1992,56.5
1993,73
1994,85.3
1995,80
1996,88
1997,83
1998,88.8
1999,93
2000,88.8
2001,87.6
2002,90.7
2003,90
2004,459.6
2005,98.1
2006,91.9
2007,79.1
2008,83.5
2009,24.1
2010,18.7
2011,120
2012,20.8
2013,38.9
2014,77.1
2015,43.4
2016,42
2017,94.6
2018,153.7
2019,84.3
