UF,RR
Cidade,BOA VISTA
Nome Posto,MOCIDADE
Latitude,2.536388888888889
Longitude,-60.90972222222222
Codigo,8360003
Qtd. Anos,25
Ano,Maxima
1975,22.9
1976,55.8
1977,36.2
1978,126
1979,84.6
1980,185
1981,107
1982,129.2
1983,47.6
1984,170
1985,67.9
1987,24.5
1988,137.3
1989,131.7
1990,152
1996,27.9
1997,58
1998,188.5
1999,112.1
2000,113
2015,70.5
2016,97.6
2017,89.5
2018,97.1
2019,175.5
