UF,RR
Cidade,BOA VISTA
Nome Posto,BOA VISTA
Latitude,1.1705555555555556
Longitude,-60.661944444444444
Codigo,8260000
Qtd. Anos,49
Ano,Maxima
1958,43.9
1961,101.9
1962,49
1970,61
1972,11
1973,92
1974,89.8
1975,85.8
1976,92
1977,81.6
1978,87.2
1979,115.2
1980,66.6
1981,83.2
1982,69.6
1983,90.6
1984,100.4
1985,71
1986,64
1987,97
1988,88.6
1989,94
1990,36
1992,51.4
1993,102.5
1994,96.8
1995,97.1
1996,122.5
1997,65.1
1998,149.4
1999,128.1
2000,80.9
2001,69
2002,92.5
2003,85.2
2004,83.3
2005,149.3
2006,105.6
2007,117.2
2008,99
2009,84.6
2010,127.2
2011,107.8
2012,81
2013,146
2014,53.9
2015,87.4
2016,68.5
2017,79
