UF,RR
Cidade,RORAINOPOLIS
Nome Posto,SANTA MARIA DO BOIACU
Latitude,-0.5066666666666667
Longitude,-61.78583333333333
Codigo,61000
Qtd. Anos,48
Ano,Maxima
1972,78.5
1973,70
1974,71
1975,90.2
1976,75.7
1977,92
1978,53.2
1979,133.5
1980,68
1981,48
1982,80
1983,83.8
1984,60.4
1985,70.2
1986,64.1
1987,92.2
1988,76.2
1989,86.2
1990,83.6
1991,102.8
1992,110
1993,69.5
1994,126.2
1995,81.2
1996,111.4
1997,78.2
1998,97
1999,80.7
2000,87.7
2001,104.4
2002,77.7
2003,87.7
2004,104.1
2005,132.7
2006,107
2007,100.7
2008,79
2009,123
2010,91.6
2011,86.6
2012,64.7
2013,113.1
2014,120
2015,101.3
2016,101.9
2017,121.3
2018,74.5
2019,98
