UF,RR
Cidade,RORAINOPOLIS
Nome Posto,FAZENDA SAO JOSE
Latitude,-0.5211111111111112
Longitude,-60.465
Codigo,8060000
Qtd. Anos,37
Ano,Maxima
1983,77
1984,52.2
1985,52.8
1986,102.8
1987,167
1988,12
1989,70.4
1990,38.2
1991,76
1992,138.9
1993,184.5
1994,68.7
1995,90.4
1996,20.6
1997,72
1998,91
1999,116.5
2000,90.8
2001,83.3
2002,87.8
2003,58.9
2004,203
2005,193.8
2006,96.2
2007,151.8
2008,97.1
2009,83.5
2010,76.6
2011,80.6
2012,59.8
2013,60.9
2014,87.2
2015,100
2016,25.6
2017,57.4
2018,52.7
2019,95
