UF,RR
Cidade,CARACARAI
Nome Posto,CARACARAI
Latitude,0.17861111111111114
Longitude,-61.12361111111111
Codigo,8161001
Qtd. Anos,45
Ano,Maxima
1975,70.4
1976,112.3
1977,44.6
1978,118.4
1979,61
1980,61.4
1981,74.6
1982,51.4
1983,70.2
1984,72.2
1985,92.3
1986,72.2
1987,89.1
1988,60.3
1989,66.2
1990,41.5
1991,135.8
1992,52.7
1993,82.1
1994,85.4
1995,96.5
1996,90
1997,54
1998,108.6
1999,98.2
2000,84.7
2001,73.6
2002,124.9
2003,133.2
2004,69.9
2005,80.4
2006,122.6
2007,97.6
2008,112.4
2009,71.9
2010,208
2011,78.6
2012,87.4
2013,65.2
2014,91.2
2015,76
2016,97.3
2017,91.6
2018,123.7
2019,86.4
