UF,SC
Cidade,CAMPO ERE
Nome Posto,CAMPO ERE - EMPASC
Latitude,-26.45777777777778
Longitude,-53.07944444444445
Codigo,2653001
Qtd. Anos,51
Ano,Maxima
1969,35.6
1970,72.8
1971,125.8
1972,159
1973,98.6
1974,106
1975,120.2
1976,106
1977,87
1978,108
1979,157
1980,74
1981,113.6
1982,105
1983,140.2
1984,96.4
1985,71.4
1986,114.8
1987,120.9
1988,95
1989,70.5
1990,113.2
1991,109.6
1992,96.8
1993,204.7
1994,91.8
1995,76.6
1996,84.1
1997,95.7
1998,103.2
1999,107.4
2000,76.6
2001,71.3
2002,137.3
2003,109.5
2004,86
2005,115
2006,69.5
2007,108
2008,92.8
2009,92.4
2010,143.9
2011,77.4
2012,95.4
2013,123.7
2014,164.2
2015,112.2
2016,72.6
2017,110
2018,92
2019,98.3
