UF,SC
Cidade,CAMPO ALEGRE
Nome Posto,CAMPO ALEGRE
Latitude,-26.18638888888889
Longitude,-49.27333333333333
Codigo,2649057
Qtd. Anos,43
Ano,Maxima
1976,41.8
1977,68
1978,58
1979,64.2
1980,84
1981,76
1982,74
1983,98.4
1984,97
1985,45
1986,75
1987,95.6
1988,68.6
1989,55.6
1990,58
1991,87.8
1992,136.2
1993,80
1994,71.4
1995,95
1996,81.2
1997,96
1998,86.4
1999,95.9
2000,80.2
2001,78.2
2002,65.3
2003,68.8
2004,60.1
2005,78
2006,35.3
2007,64.7
2008,71.6
2009,58.9
2010,78.7
2011,76.8
2012,79.3
2013,56.7
2014,150.4
2015,55.9
2016,74.3
2017,66.1
2018,43
