UF,SC
Cidade,MATOS COSTA
Nome Posto,CALMON
Latitude,-26.598888888888887
Longitude,-51.11666666666667
Codigo,2651044
Qtd. Anos,38
Ano,Maxima
1979,100.8
1980,99.2
1981,101.2
1982,124
1983,120
1984,85.6
1985,50.4
1986,65.3
1987,53.1
1988,69.3
1989,56.3
1990,84.8
1991,100.2
1992,96.8
1993,65.7
1994,123.4
1995,70.7
1996,60.9
1997,68.2
1998,118.1
1999,65.4
2000,149
2001,49.7
2002,35.1
2003,55.6
2004,57
2005,65.7
2006,93
2007,70.2
2008,57.8
2009,56
2010,170.6
2011,65.5
2012,93
2013,75
2014,69.5
2015,79.5
2017,76
