UF,SC
Cidade,ITAIOPOLIS
Nome Posto,IRACEMA
Latitude,-26.45861111111111
Longitude,-50.003055555555555
Codigo,2650022
Qtd. Anos,37
Ano,Maxima
1983,108.2
1984,112
1985,68.2
1986,83.6
1987,62
1988,76.1
1989,64.5
1990,118.2
1991,106.2
1992,151
1993,94.8
1994,105.2
1995,124
1996,87.6
1997,86.8
1998,96.2
1999,102.2
2000,118.6
2001,56.2
2002,57.6
2003,68.8
2004,99.4
2005,78.8
2006,62.2
2007,83.4
2008,67
2009,56.8
2010,90.6
2011,85.4
2012,91.2
2013,81.8
2014,131.8
2015,67.2
2016,61.4
2017,71.4
2018,105.4
2019,54.6
