UF,SC
Cidade,VIDAL RAMOS
Nome Posto,VIDAL RAMOS
Latitude,-27.3925
Longitude,-49.36555555555556
Codigo,2749033
Qtd. Anos,44
Ano,Maxima
1976,41.6
1977,37.2
1978,145.3
1979,78
1980,64.4
1981,46.1
1982,49.4
1983,62.1
1984,148
1985,55.2
1986,84.2
1987,91.1
1988,63.4
1989,58.2
1990,73.2
1991,56.4
1992,74.5
1993,49.3
1994,82
1995,120
1996,62
1997,73.7
1998,65.1
1999,65.9
2000,75
2001,108
2002,67.6
2003,135
2004,74.5
2005,115
2006,60
2007,95.8
2008,75
2009,77.5
2010,65.5
2011,93.9
2012,104
2013,103
2014,65
2015,92.3
2016,60.8
2017,101
2018,95
2019,53.6
