UF,SC
Cidade,RANCHO QUEIMADO
Nome Posto,RANCHO QUEIMADO
Latitude,-27.671944444444446
Longitude,-49.01166666666666
Codigo,2749020
Qtd. Anos,44
Ano,Maxima
1976,54
1977,120
1978,115
1979,80
1980,112.6
1981,81
1982,144
1983,135.2
1984,85
1985,95.8
1986,118
1987,66.5
1988,80.1
1989,105.1
1990,96.9
1991,128
1992,122.1
1993,179
1994,70.3
1995,214
1996,53.7
1997,82.9
1998,161.6
1999,84.7
2000,117.9
2001,129.6
2002,74.1
2003,98.9
2004,116.2
2005,92.3
2006,72.7
2007,66
2008,118.5
2009,90
2010,86.4
2011,97.9
2012,67.7
2013,112.2
2014,72.9
2015,84
2016,84.9
2017,78.6
2018,64.3
2019,66.5
