UF,SC
Cidade,SAO BONIFACIO
Nome Posto,SAO BONIFACIO
Latitude,-27.90083333333333
Longitude,-48.92777777777778
Codigo,2748018
Qtd. Anos,44
Ano,Maxima
1976,91
1977,75
1978,113.6
1979,75
1980,118.2
1981,98.2
1982,61.4
1983,94.4
1984,78.7
1985,99.2
1986,110.4
1987,128
1988,79.6
1989,86.6
1990,67.9
1991,87
1992,62.5
1993,74.5
1994,81.9
1995,139.5
1996,60.2
1997,91.3
1998,474
1999,85.3
2000,115.3
2001,100.1
2002,96.2
2003,57
2004,122.8
2005,110
2006,75.8
2007,42.7
2008,169.9
2009,85
2010,148.5
2011,93.5
2012,61.1
2013,70.8
2014,113.7
2015,120
2016,101.4
2017,88.7
2018,72
2019,69.2
