UF,SC
Cidade,PONTE SERRADA
Nome Posto,PONTE SERRADA
Latitude,-26.905555555555555
Longitude,-51.97166666666667
Codigo,2651040
Qtd. Anos,45
Ano,Maxima
1976,44.1
1977,68.5
1978,65.5
1979,119.2
1980,89.4
1981,76.1
1982,96.1
1983,147
1984,108.3
1985,49
1986,96.1
1987,120.1
1988,61.8
1989,67.2
1990,110.2
1991,114.2
1992,130.2
1993,89.4
1994,97
1995,75.2
1996,91.4
1997,95
1998,103.6
1999,142.1
2000,100.3
2001,79.1
2002,71.7
2003,92.1
2004,59.5
2005,172.2
2006,114.1
2007,73.5
2008,97.5
2009,81.3
2010,95.1
2011,84.7
2012,82.5
2013,91.6
2014,178.9
2015,93.9
2016,84.5
2017,83
2018,114.4
2019,106
2020,25
