UF,SC
Cidade,SANTO AMARO DA IMPERATRIZ
Nome Posto,POCO FUNDO
Latitude,-27.704722222222223
Longitude,-48.80361111111111
Codigo,2748005
Qtd. Anos,68
Ano,Maxima
1950,55
1951,52
1952,75
1953,45.2
1954,147.3
1955,57
1956,54.1
1957,75.5
1958,67.4
1959,61.2
1960,145.2
1961,146.3
1962,81.3
1963,113.4
1964,71.2
1965,119.5
1966,103.4
1967,90.2
1968,116.2
1969,64.2
1970,142.5
1971,56.5
1972,119.5
1973,126
1974,102.2
1975,88.4
1976,90.4
1977,141.4
1978,75.4
1979,156.5
1980,98.4
1981,111.4
1982,61.4
1983,182.5
1984,70
1985,60
1986,79
1987,90
1988,70
1989,142
1990,164
1991,180.7
1992,86.2
1993,80
1994,53.6
1995,80
1996,57.4
1997,103
1998,74.6
1999,74.9
2000,75.2
2001,51.4
2002,94.3
2003,30
2004,38.2
2005,84.6
2006,62.5
2009,99.2
2010,116.2
2011,203.6
2012,76.6
2013,117.7
2014,75.5
2015,77.9
2016,130.6
2017,84
2018,98.2
2019,119.5
