UF,SC
Cidade,POMERODE
Nome Posto,POMERODE
Latitude,-26.736666666666668
Longitude,-49.17027777777778
Codigo,2649002
Qtd. Anos,91
Ano,Maxima
1929,34.6
1930,89.2
1931,84
1932,75.5
1933,67.3
1934,62.4
1935,84.9
1936,83.8
1937,110.5
1938,60.8
1939,67.4
1940,117.2
1941,44.2
1942,150.2
1943,76.2
1944,92.8
1945,75.3
1946,132.2
1947,52.8
1948,203.6
1949,49.8
1950,87.2
1951,84.8
1952,67.2
1953,88.2
1954,87.9
1955,82.3
1956,52.8
1957,65.2
1958,114.6
1959,79.8
1960,75.4
1961,86.4
1962,80.4
1963,98
1964,77.2
1965,94
1966,117.4
1967,89.6
1968,60
1969,63
1970,175.2
1971,91.4
1972,116
1973,67
1974,88.8
1975,104.6
1976,60.4
1977,78
1978,110.2
1979,84.4
1980,88
1981,70.4
1982,75.4
1983,88.2
1984,110.6
1985,75.8
1986,86
1987,111.4
1988,53
1989,98.8
1990,72.2
1991,94.8
1992,187.3
1993,61.2
1994,117
1995,86.9
1996,60.8
1997,89.7
1998,84.8
1999,156.1
2000,107.5
2001,85.2
2002,94.9
2003,57.1
2004,98.7
2005,129.4
2006,75.3
2007,138
2008,126.8
2009,72.2
2010,114.4
2011,145.7
2012,109.1
2013,79.5
2014,102.6
2015,65.9
2016,56.2
2017,79.2
2018,57.4
2019,73.4
