UF,SC
Cidade,MAJOR GERCINO
Nome Posto,MAJOR GERCINO
Latitude,-27.41583333333333
Longitude,-48.95111111111111
Codigo,2748001
Qtd. Anos,75
Ano,Maxima
1945,50.8
1946,80.4
1947,90.7
1948,103
1949,116.6
1950,77.8
1951,68.6
1952,50.9
1953,43.8
1954,91
1955,69
1956,73.8
1957,81.4
1958,62.6
1959,52.9
1960,135.2
1961,93.8
1962,84.4
1963,70.2
1964,54.2
1965,60.2
1966,61.2
1967,51.2
1968,99.2
1969,104.2
1970,66.2
1971,60.6
1972,107.4
1973,77
1974,84.2
1975,72.4
1976,72.4
1977,128.6
1978,96.2
1979,89.2
1980,82
1981,93.4
1982,68
1983,92
1984,94
1985,86
1986,150
1987,96.6
1988,60.6
1989,95
1990,56
1991,70
1992,85
1993,57.9
1994,76.1
1995,99.9
1996,71
1997,87.3
1998,170.6
1999,46.7
2000,63.3
2001,263
2002,23.4
2003,32.1
2004,58
2005,100
2006,63.6
2007,86.6
2008,300.5
2009,335
2010,109.7
2011,117.5
2012,64.8
2013,52.8
2014,81.2
2015,79.6
2016,71.3
2017,104
2018,83.7
2019,67
