UF,SC
Cidade,TAIO
Nome Posto,BARRAGEM OESTE
Latitude,-27.09722222222222
Longitude,-50.03388888888889
Codigo,2750014
Qtd. Anos,54
Ano,Maxima
1966,48.8
1967,55.1
1968,70.2
1969,50.6
1970,63.6
1971,76.2
1972,94.8
1973,58.4
1974,124.2
1975,113.2
1976,89.8
1977,84
1978,115
1979,114.2
1980,128
1981,83
1982,83.4
1983,95
1984,91.6
1985,59
1986,57.2
1987,84
1988,67.7
1989,83.2
1990,81.9
1991,85.3
1992,88.2
1993,60
1994,107.2
1995,56.7
1996,145.7
1997,94
1998,98.7
1999,133.1
2000,128
2001,105.6
2002,114
2003,46.5
2004,50.9
2005,96.7
2006,55
2007,85
2008,94.6
2009,74.5
2010,124.5
2011,89
2012,64.5
2013,57.1
2014,74.4
2015,74.2
2016,82.4
2017,70.4
2018,62.4
2019,96.5
