UF,SC
Cidade,CORONEL FREITAS
Nome Posto,PORTO FAE NOVO
Latitude,-26.819166666666668
Longitude,-52.73527777777778
Codigo,2652034
Qtd. Anos,41
Ano,Maxima
1979,74
1980,75
1981,75.2
1982,78.6
1983,106
1984,114
1985,75.2
1986,108
1987,108.3
1988,81.2
1989,113
1990,90.3
1992,139.2
1993,70
1994,72.3
1995,83.6
1996,82.4
1997,119.1
1998,137
1999,106.2
2000,92.5
2001,81.3
2002,86.5
2003,132.7
2004,81
2005,113.2
2006,101
2007,94.5
2008,102.1
2009,82.6
2010,133.2
2011,65.2
2012,77.6
2013,100.5
2014,145.9
2015,112.6
2016,76
2017,80
2018,88
2019,73
2020,110
