UF,SC
Cidade,BOM JARDIM DA SERRA
Nome Posto,BOM JARDIM DA SERRA
Latitude,-28.33972222222222
Longitude,-49.62138888888889
Codigo,2849009
Qtd. Anos,52
Ano,Maxima
1969,35.4
1970,45.2
1971,65.4
1972,96.8
1973,67.4
1974,99.3
1975,54.8
1976,81.6
1977,113.6
1978,58.2
1979,54.4
1980,78.6
1981,49.2
1982,63
1983,105.2
1984,69.8
1985,48.8
1986,94.2
1987,89.4
1988,52.6
1989,76.2
1990,84.6
1991,55.2
1992,102.6
1993,102.5
1994,83.3
1995,63.4
1996,50.5
1997,55.3
1998,66.6
1999,73.9
2000,111.3
2001,105.7
2002,96.2
2003,69.3
2004,76.7
2005,116
2006,57.4
2007,72
2008,64.3
2009,42.5
2010,85
2011,91.5
2012,73.7
2013,100
2014,96
2015,116
2016,98.6
2017,84
2018,50
2019,69
2020,42
