UF,SC
Cidade,CANOINHAS
Nome Posto,MARCILIO DIAS (RVPSC)
Latitude,-26.1
Longitude,-50.38333333333333
Codigo,2650003
Qtd. Anos,58
Ano,Maxima
1939,53.3
1940,59.8
1941,67
1942,71
1943,40
1944,40
1945,40
1946,57
1947,115
1948,53.6
1949,20.4
1950,13.5
1951,18.5
1952,27
1953,30.5
1954,100
1955,26
1956,40
1957,50
1958,35
1959,35
1960,35
1961,42
1962,38
1963,70
1964,25
1965,28
1966,120
1967,100
1968,120
1969,72
1970,55
1971,64
1972,160
1973,70
1974,63
1975,61.3
1976,55.1
1977,35.7
1978,93.2
1979,57.2
1980,77.1
1981,54.4
1982,70.1
1983,88.8
1984,79.6
1985,80.6
1986,59.1
1987,52
1988,75.5
1989,69
1990,125
1991,100.2
1992,178.2
1993,107
1994,80.4
1995,72.2
1996,62
