UF,SC
Cidade,ALFREDO WAGNER
Nome Posto,LOMBA ALTA
Latitude,-27.730555555555554
Longitude,-49.382777777777775
Codigo,2749007
Qtd. Anos,79
Ano,Maxima
1941,98
1942,56
1943,80
1944,62.3
1945,59.8
1946,67
1947,94.7
1948,103.4
1949,118
1950,63.9
1951,91.4
1952,89.8
1953,86
1954,110.2
1955,96.5
1956,84
1957,85.4
1958,85
1959,80.4
1960,84.6
1961,119
1962,36.4
1963,112
1964,56.3
1965,42
1966,54.2
1967,94.3
1968,43.5
1969,52.2
1970,63.2
1971,48.2
1972,82.1
1973,79.3
1974,64.6
1975,42.2
1976,73.8
1977,83
1978,79.8
1979,93.2
1980,97
1981,39.2
1982,67.4
1983,74
1984,90.6
1985,53.8
1986,76.8
1987,77.4
1988,86.8
1989,82.2
1990,50
1991,74.2
1992,104
1993,134.6
1994,46.2
1995,101.8
1996,51.8
1997,83.6
1998,84.8
1999,66.6
2000,66.4
2001,120.6
2002,46
2003,59.2
2004,61.4
2005,103.6
2006,57
2007,21.2
2008,67.4
2009,91
2010,87.6
2011,97.2
2012,82
2013,82
2014,73
2015,128.6
2016,64
2017,67.4
2018,57.4
2019,92.2
