UF,SC
Cidade,PORTO UNIAO
Nome Posto,PORTO UNIAO
Latitude,-26.216666666666665
Longitude,-51.06666666666667
Codigo,2651007
Qtd. Anos,44
Ano,Maxima
1948,57.4
1949,69
1950,57.9
1951,56.6
1952,67.8
1953,40.3
1954,80.2
1955,45.9
1956,77.2
1957,92.7
1958,94
1959,49
1960,43.9
1961,74.6
1962,71.2
1963,82.2
1964,91.4
1965,70.5
1966,67.6
1967,43.8
1968,41.8
1969,80.4
1970,67.8
1971,90.6
1972,118.6
1973,73.8
1974,69.6
1975,73
1976,81.6
1977,63.5
1978,68.4
1979,73.7
1980,71.9
1981,61
1982,79.1
1983,152.5
1984,92
1986,53.5
1987,74
1988,74.6
1989,82.5
1990,84.4
1991,77.9
1992,88.2
