UF,SC
Cidade,SAO CRISTOVAO DO SUL
Nome Posto,PONTE DO RIO ANTINHAS
Latitude,-27.345277777777778
Longitude,-50.43583333333333
Codigo,2750012
Qtd. Anos,60
Ano,Maxima
1961,68.4
1962,94.2
1963,73.8
1964,142.7
1965,74.2
1966,51.8
1967,91.2
1968,52.4
1969,91.4
1970,70.8
1971,70.8
1972,60.8
1973,84.2
1974,126
1975,65
1976,64
1977,118
1978,66
1979,98
1980,115
1981,51
1982,78.8
1983,87
1984,120
1985,71.5
1986,58
1987,70
1988,55.6
1989,57.3
1990,95.3
1991,74.6
1992,86
1993,67.3
1994,54.5
1995,79.8
1996,66.7
1997,71.3
1998,105.5
1999,98.8
2000,54.4
2001,92.2
2002,90.8
2003,62.6
2004,44.3
2005,140.9
2006,58
2007,76.9
2008,64.3
2009,50.2
2010,78
2011,97.5
2012,137.6
2013,76.9
2014,78.8
2015,136.8
2016,76.3
2017,84.3
2018,140
2019,64
2020,42
