UF,SC
Cidade,ITAIOPOLIS
Nome Posto,ITAIOPOLIS
Latitude,-26.33277777777778
Longitude,-49.92722222222222
Codigo,2649056
Qtd. Anos,41
Ano,Maxima
1976,61.2
1977,84
1978,90.6
1979,97.8
1980,122
1981,55
1982,86.2
1983,83
1984,117.3
1985,72
1986,75
1987,92.1
1988,78.3
1989,66.2
1990,85.4
1991,83.2
1992,220.2
1993,96.4
1994,101
1995,135.9
1996,101
1997,77.6
1998,69.3
1999,128.3
2000,59.8
2001,87.7
2002,62.4
2003,58.4
2004,67.3
2005,107
2006,48.5
2007,68.5
2008,63
2009,105.5
2010,98
2011,113.3
2012,97.8
2013,70.4
2014,195
2015,68.9
2017,72.2
