UF,SC
Cidade,TIMBE DO SUL
Nome Posto,TIMBE DO SUL
Latitude,-28.834999999999997
Longitude,-49.83777777777778
Codigo,2849019
Qtd. Anos,44
Ano,Maxima
1976,126.2
1977,133.6
1978,93
1979,109.3
1980,129.4
1981,108.6
1982,68.4
1983,138.8
1984,72.6
1985,134
1986,130
1987,85
1988,95.4
1989,94
1990,125
1991,85
1992,84
1993,116.6
1994,118.8
1995,79
1996,79.6
1997,87.2
1998,77
1999,108.5
2000,135.3
2001,138.3
2002,92
2003,124.5
2004,100
2005,74.6
2006,90.3
2007,140.3
2008,115
2009,144.2
2010,117.7
2011,154.3
2012,118.2
2013,94.9
2014,97
2015,98.8
2016,117.7
2017,63
2018,120
2019,76
