UF,SC
Cidade,URUBICI
Nome Posto,URUBICI
Latitude,-28.00722222222222
Longitude,-49.592222222222226
Codigo,2849021
Qtd. Anos,48
Ano,Maxima
1943,48
1944,63.8
1945,21
1976,72
1977,110
1978,82
1979,60.8
1980,96
1981,56
1982,60.8
1983,68.4
1984,91
1985,47
1986,64
1987,86
1988,64.4
1989,81.4
1990,89
1991,81.6
1992,51.6
1993,82.8
1994,67.8
1995,76.4
1996,50.6
1997,75
1998,85.7
1999,67.1
2000,67.2
2001,127.6
2002,62.4
2003,59.3
2004,64.2
2005,103.8
2006,96.6
2007,56.5
2008,60.4
2009,43.4
2010,56.4
2011,128.6
2012,83.9
2013,85.9
2014,96.4
2015,95.3
2016,80.5
2017,90.3
2018,54.4
2019,53.5
2020,42.2
