UF,SC
Cidade,IBIRAMA
Nome Posto,NOVA BREMEN DALBERGIA
Latitude,-27.034166666666668
Longitude,-49.58972222222222
Codigo,2749005
Qtd. Anos,79
Ano,Maxima
1941,54
1942,61.6
1943,62.7
1944,45.6
1945,60.4
1946,63.2
1947,60
1948,62.6
1949,61.2
1950,60
1951,64.4
1952,76
1953,52.6
1954,77
1955,82
1956,48
1957,87.8
1958,72
1959,85.8
1960,86.2
1961,79.4
1962,55.8
1963,53
1964,41.4
1965,75
1966,68.1
1967,60.8
1968,56.6
1969,60
1970,75.8
1971,68
1972,64
1973,83
1974,65.2
1975,69.8
1976,55.6
1977,92.4
1978,84
1979,80.5
1980,102
1981,48.2
1982,92.2
1983,97
1984,86
1985,58
1986,79.5
1987,67
1988,51.5
1989,60.2
1990,97.2
1991,85.2
1992,85
1993,97.8
1994,72.5
1995,192
1996,64.5
1997,90.5
1998,68.5
1999,100.8
2000,84.4
2001,120.9
2002,74
2003,90.5
2004,70.1
2005,105
2006,47
2007,70
2008,58
2009,64.5
2010,92.3
2011,73
2012,76.3
2013,74.3
2014,85.1
2015,73
2016,56.9
2017,58.7
2018,64.3
2019,57.8
