UF,SC
Cidade,PALMITOS
Nome Posto,PALMITOS
Latitude,-27.064444444444444
Longitude,-53.15694444444444
Codigo,2753006
Qtd. Anos,62
Ano,Maxima
1959,63.4
1960,94.2
1961,77.4
1962,120.2
1963,150
1964,92
1965,154.6
1966,107.4
1967,86
1968,116
1969,101
1970,105
1971,95
1972,95
1973,115.1
1974,78
1975,97
1976,89
1977,150
1978,85
1979,77.2
1980,92
1981,95.1
1982,71
1983,134.2
1984,63.1
1985,86.2
1986,86.1
1987,102.3
1988,92.1
1989,75
1990,116.3
1991,92.4
1992,124
1993,87
1994,102.1
1995,96.7
1996,87
1997,135.1
1998,139.5
1999,127.2
2000,96.4
2001,82
2002,94.1
2003,115
2004,74.1
2005,101.4
2006,109.5
2007,78.1
2008,114.9
2009,83.4
2010,98
2011,85.7
2012,85.6
2013,90
2014,131
2015,99
2016,91
2017,105
2018,65.1
2019,101.2
2020,52.8
