UF,SC
Cidade,ABELARDO LUZ
Nome Posto,ABELARDO LUZ
Latitude,-26.55611111111111
Longitude,-52.33083333333334
Codigo,2652000
Qtd. Anos,64
Ano,Maxima
1957,200
1958,98
1959,62
1960,68.4
1961,107
1962,112
1963,126
1964,68.1
1965,81.5
1966,90
1967,82.2
1968,73.8
1969,95.6
1970,72.2
1971,105
1972,94.2
1973,100.4
1974,100.1
1975,100
1976,75
1977,74
1978,60.2
1979,103
1980,85
1981,70.1
1982,95
1983,210.2
1984,80.1
1985,40
1986,65
1987,67
1988,75
1989,85
1990,101
1991,50.3
1992,60.1
1993,58.8
1994,120
1995,130.1
1996,80
1997,120
1998,90.2
1999,80
2000,50.9
2001,85.5
2002,45.1
2003,79.2
2004,78.2
2005,119.5
2006,112.3
2007,89.1
2008,86.3
2009,94.6
2010,135
2011,129.5
2012,79.2
2013,98.5
2014,187.2
2015,80
2016,92.3
2017,72.2
2018,53
2019,138.8
2020,86.1
