UF,SC
Cidade,ANTONIO CARLOS
Nome Posto,ANTONIO CARLOS
Latitude,-27.516944444444444
Longitude,-48.769444444444446
Codigo,2748016
Qtd. Anos,44
Ano,Maxima
1976,127.2
1977,147.2
1978,135.5
1979,121.5
1980,101.4
1981,97.2
1982,90.4
1983,147.2
1984,103.6
1985,71
1986,135.8
1987,92.9
1988,66
1989,114.2
1990,70.3
1991,145
1992,108.4
1993,83.4
1994,195.1
1995,154
1996,82.1
1997,164.7
1998,146.6
1999,67
2000,72.6
2001,125
2002,81.2
2003,50.4
2004,88.8
2005,72.8
2006,57.2
2007,77
2008,170.8
2009,75
2010,172
2011,142
2012,98.3
2013,204
2014,50
2015,80
2016,111
2017,104
2018,126.7
2019,89
