UF,SC
Cidade,ANITAPOLIS
Nome Posto,DIVISA DE ANITAPOLIS
Latitude,-27.995555555555555
Longitude,-49.11555555555556
Codigo,2749012
Qtd. Anos,75
Ano,Maxima
1945,24.2
1946,51.3
1947,94.3
1948,100.3
1949,68.1
1950,88.3
1951,74.2
1952,75
1953,60.8
1954,74.4
1955,46.3
1956,54.1
1957,84
1958,95.4
1959,167.2
1960,81.6
1961,73
1962,83.2
1963,94.8
1964,84.8
1965,113.2
1966,59.2
1967,70.8
1968,76
1969,48.2
1970,74.2
1971,69.2
1972,128
1973,155.4
1974,77
1975,61.3
1976,70
1977,115.8
1978,66
1979,67.6
1980,143.2
1981,77.2
1982,64.8
1983,86
1984,76.5
1985,97
1986,101
1987,153
1988,83
1989,94
1990,100.3
1991,59.3
1992,55
1993,75.7
1994,105.4
1995,288
1996,67
1997,124.8
1998,74.9
1999,74.9
2000,125
2001,131.3
2002,85.4
2003,79.4
2004,61.4
2005,145.5
2006,108.5
2007,145
2008,71.9
2009,124.8
2010,98.1
2011,95.8
2012,66.9
2013,84.7
2014,79
2015,90.5
2016,114.8
2017,76.3
2018,54.7
2019,68.7
