UF,SC
Cidade,SOMBRIO
Nome Posto,SOMBRIO
Latitude,-29.045833333333334
Longitude,-49.60666666666667
Codigo,2949003
Qtd. Anos,44
Ano,Maxima
1976,70
1977,98.8
1978,62.8
1979,60.8
1980,123.2
1981,112.8
1982,98.8
1983,118.8
1984,146.2
1985,103.8
1986,127.2
1987,76.2
1988,105.2
1989,126.2
1990,79.2
1991,82
1992,69.4
1993,73.4
1994,95.8
1995,104
1996,88.3
1997,64.8
1998,93.7
1999,71.2
2000,117.5
2001,117.2
2002,54.1
2003,137.1
2004,127.9
2005,99.5
2006,83.4
2007,93.2
2008,76.9
2009,108
2010,86.3
2011,79.5
2012,100.2
2013,61.7
2014,94.3
2015,107.3
2016,71.1
2017,109.4
2018,69.7
2019,129.2
