UF,SC
Cidade,WITMARSUM
Nome Posto,WITMARSUM
Latitude,-26.926111111111112
Longitude,-49.802499999999995
Codigo,2649053
Qtd. Anos,42
Ano,Maxima
1976,56
1977,71.8
1978,115.3
1979,104.2
1980,97.4
1981,75.6
1982,125.8
1983,86.8
1984,93
1985,53.2
1986,61.2
1987,83
1988,45.2
1989,68.6
1990,106.6
1991,89.6
1992,94
1993,68
1994,83
1995,59
1996,64.6
1997,99
1998,72
1999,114
2000,55
2001,115
2002,63.2
2003,61.3
2004,86.2
2005,87.5
2006,93
2008,61.9
2010,81.3
2011,101.6
2012,98.3
2013,74.5
2014,94.5
2015,66.6
2016,65.8
2017,65
2018,76.8
2019,61.8
