UF,SC
Cidade,CANOINHAS
Nome Posto,PINHEIROS
Latitude,-26.35138888888889
Longitude,-50.64555555555555
Codigo,2650018
Qtd. Anos,41
Ano,Maxima
1976,46.3
1977,46
1978,77.9
1979,74
1980,145.2
1981,119
1982,60.7
1983,119.6
1984,102.4
1985,46.6
1986,59
1987,88.6
1988,108.7
1989,71.2
1990,74.9
1991,109.5
1992,154.5
1993,114.1
1994,79.6
1995,65
1996,127.9
1997,91.6
1998,81.5
1999,92.2
2000,68.9
2001,62.7
2002,100
2003,113.3
2004,141.5
2005,79
2006,48.7
2007,112.8
2008,91.1
2009,63.3
2010,77.5
2011,77.5
2012,112.5
2013,83.5
2014,147.6
2015,66
2017,50
