UF,SC
Cidade,JOACABA
Nome Posto,JOACABA
Latitude,-27.171666666666667
Longitude,-51.500277777777775
Codigo,2751004
Qtd. Anos,72
Ano,Maxima
1943,127
1944,61.4
1945,58.4
1946,86
1947,67.1
1948,93.8
1949,46.2
1950,84.6
1951,96.8
1952,53.2
1953,105.6
1954,100.4
1955,67.4
1956,75
1957,67.9
1958,72.3
1959,76.7
1960,75.6
1961,77
1962,92.1
1963,95.1
1964,98.4
1965,107.2
1966,59.2
1972,73.2
1973,93.2
1974,87.2
1975,78
1976,56.7
1977,75
1978,71.2
1979,85
1980,100
1981,56
1982,70
1983,97.4
1984,135.4
1985,58
1986,83.5
1987,71.8
1988,54
1989,88.3
1990,120.7
1991,138
1992,110.7
1993,66.5
1994,76
1995,70.5
1996,96
1997,94
1998,81
1999,170
2000,88
2001,86
2002,64.9
2003,123
2004,47.5
2005,117.3
2006,87
2007,90.5
2008,80.3
2009,102
2010,103.8
2011,74.6
2012,72.7
2013,92.1
2014,133.7
2015,77.9
2016,79.2
2017,115
2018,71.6
2019,59.7
