UF,SC
Cidade,LEBON REGIS
Nome Posto,LEBON REGIS
Latitude,-26.901666666666664
Longitude,-50.659166666666664
Codigo,2650019
Qtd. Anos,45
Ano,Maxima
1976,40
1977,74.2
1978,47.7
1979,98.2
1980,111.2
1981,78.3
1982,60
1983,96.2
1984,89.3
1985,52
1986,73.1
1987,98.3
1988,68
1989,66
1990,79.4
1991,45.3
1992,89
1993,95
1994,79.1
1995,79.7
1996,78
1997,100.3
1998,80.2
1999,112.6
2000,90.3
2001,98.3
2002,47.5
2003,61.8
2004,63.8
2005,80.4
2006,75.5
2007,85.5
2008,60
2009,59.6
2010,80.4
2011,72.3
2012,71.6
2013,200.3
2014,80.4
2015,64.1
2016,87.8
2017,73.2
2018,63.3
2019,83.7
2020,90.6
