UF,SC
Cidade,GARUVA
Nome Posto,GARUVA
Latitude,-26.035555555555558
Longitude,-48.85
Codigo,2648027
Qtd. Anos,44
Ano,Maxima
1976,38.9
1977,120.4
1978,121.6
1979,116.4
1980,198.4
1981,150.1
1982,126.6
1983,118.2
1984,105
1985,146.4
1986,152.2
1987,90.4
1988,140.2
1989,120
1990,125
1991,116.4
1992,147.6
1993,69
1994,110.6
1995,183.3
1996,105.6
1997,136.6
1998,131.4
1999,132.8
2000,109.8
2001,174.7
2002,96.9
2003,225.3
2004,114.9
2005,173.5
2006,145.4
2007,124.2
2008,225.6
2009,123.4
2010,127.9
2011,123.8
2012,107.9
2013,98.4
2014,133.3
2015,79.3
2016,103.8
2017,128.1
2018,118.7
2019,88
