UF,SC
Cidade,APIUNA
Nome Posto,NEISSE CENTRAL
Latitude,-27.040277777777778
Longitude,-49.38138888888889
Codigo,2749016
Qtd. Anos,64
Ano,Maxima
1956,43
1957,69
1958,73
1959,48
1960,65
1961,78
1962,64
1963,92
1964,43
1965,66
1966,76
1967,59
1968,50
1969,50.5
1970,52
1971,67
1972,86
1973,60
1974,64
1975,85
1976,90.1
1977,75
1978,100
1979,75
1980,96
1981,50
1982,95
1983,98
1984,148
1985,40
1986,67
1987,67
1988,78
1989,100
1990,86
1991,83.1
1992,93
1993,81.2
1994,83
1995,54.3
1996,62.7
1997,97.2
1998,66.2
1999,113.5
2000,114.3
2001,100.3
2002,64.2
2003,72.2
2004,80
2005,122.7
2006,75.4
2007,70.7
2008,66.5
2009,64.7
2010,82.3
2011,89
2012,62.5
2013,76
2014,98.7
2015,60.5
2016,62.7
2017,68
2018,52
2019,50
