UF,SC
Cidade,SAO JOSE DO CERRITO
Nome Posto,SAO JOSE DO CERRITO
Latitude,-27.661666666666665
Longitude,-50.57833333333333
Codigo,2750020
Qtd. Anos,45
Ano,Maxima
1976,92.2
1977,80
1978,44.3
1979,85
1980,102
1981,65
1982,76
1983,107.4
1984,117.8
1985,52.4
1986,70.4
1987,126.2
1988,63.8
1989,77.6
1990,103.2
1991,83.2
1992,67.2
1993,79.2
1994,78.9
1995,62
1996,59.7
1997,96
1998,128.7
1999,82.6
2000,94.3
2001,138.3
2002,81.4
2003,123
2004,86.4
2005,98.8
2006,63.8
2007,47
2008,47.6
2009,76.7
2010,79.8
2011,99.7
2012,105.3
2013,100.7
2014,97.9
2015,96.7
2016,59.5
2017,123.2
2018,81.3
2019,73.4
2020,26.9
