UF,SC
Cidade,MONTE CASTELO
Nome Posto,RESIDENCIA FUCK (LAJEADINHO)
Latitude,-26.710277777777776
Longitude,-50.29083333333333
Codigo,2650015
Qtd. Anos,41
Ano,Maxima
1976,94.3
1977,63.2
1978,77.2
1979,78.4
1980,76.4
1981,87.6
1982,63.6
1983,93.6
1984,90.2
1985,94.6
1986,83.6
1987,75.6
1988,55.4
1989,82.3
1990,80.5
1991,118.6
1992,112.6
1993,81.1
1994,49.8
1995,47
1996,86
1997,84.3
1998,64.9
1999,114.8
2000,61.5
2001,80.4
2002,67.9
2003,56.1
2004,83.1
2005,91.3
2006,67.9
2007,73
2008,48.7
2009,78
2010,102.6
2011,76.1
2012,125.6
2013,105.1
2014,119.2
2015,93.3
2017,72
