UF,SC
Cidade,MIRIM DOCE
Nome Posto,CABECEIRA RIBEIRAO CAETANO
Latitude,-27.141111111111112
Longitude,-50.26444444444444
Codigo,2750021
Qtd. Anos,36
Ano,Maxima
1984,101.8
1985,100
1986,91
1987,55
1988,56.2
1989,60
1990,85.3
1991,84.9
1992,85
1993,91.5
1994,86.3
1995,65.9
1996,70.1
1997,63.7
1998,107.3
1999,134.1
2000,74.2
2001,80.3
2002,69.3
2003,61.7
2004,65.8
2005,109.5
2006,108.6
2007,74.2
2008,56.6
2009,91.3
2010,89.4
2011,170.9
2012,82.1
2013,61.3
2014,89
2015,72
2016,76
2017,82.3
2018,57.8
2019,61.6
