UF,SC
Cidade,BOM JARDIM DA SERRA
Nome Posto,DESPRAIADO
Latitude,-28.36916666666667
Longitude,-49.80777777777777
Codigo,2849023
Qtd. Anos,44
Ano,Maxima
1977,109.6
1978,78
1979,57.6
1980,88.2
1981,73.2
1982,67
1983,123.4
1984,74.4
1985,90.2
1986,93.1
1987,130.4
1988,79.6
1989,93.1
1990,117.9
1991,83
1992,92.6
1993,107
1994,98.7
1995,44.2
1996,60.3
1997,70.6
1998,73.5
1999,81
2000,87.6
2001,138
2002,67.5
2003,82
2004,92
2005,101.3
2006,82.2
2007,71.3
2008,73.4
2009,41.8
2010,84.5
2011,99.2
2012,67.8
2013,93
2014,96.5
2015,91.7
2016,115.7
2017,81.5
2018,90.7
2019,80.3
2020,43
