UF,SC
Cidade,IMBITUBA
Nome Posto,IMBITUBA
Latitude,-28.276666666666667
Longitude,-48.70027777777778
Codigo,2848007
Qtd. Anos,44
Ano,Maxima
1976,51
1977,86.6
1978,78.4
1979,150.6
1980,107
1981,143.6
1982,36.4
1983,135.6
1984,96.2
1985,84
1986,30.1
1987,50.2
1988,75
1989,68.2
1990,75
1991,75.2
1992,50
1993,101.6
1994,140.7
1995,87.4
1996,64.5
1997,91.2
1998,144.5
1999,45.4
2000,108.5
2001,98.6
2002,92.7
2003,43.8
2004,133
2005,125.7
2006,64.7
2007,99.2
2008,167.5
2009,113.2
2010,117.7
2011,105.7
2012,108.9
2013,94.2
2014,65.3
2015,84.1
2016,190.2
2017,70
2018,56.8
2019,55.7
