UF,SC
Cidade,BLUMENAU
Nome Posto,GARCIA
Latitude,-26.96833333333333
Longitude,-49.07416666666667
Codigo,2649009
Qtd. Anos,73
Ano,Maxima
1941,50
1942,70.4
1943,80.2
1944,93.4
1945,70.4
1946,70.6
1947,66
1948,107.4
1949,76
1950,71.5
1951,46
1952,47.3
1953,51.6
1954,93.2
1955,67.8
1956,80.8
1957,63.4
1958,129.8
1959,124.8
1960,90.2
1961,150
1962,147.2
1963,100
1964,79.8
1965,128
1966,77.2
1967,100.4
1968,100
1969,161.2
1970,72.2
1971,83
1972,100
1973,96
1974,67.8
1975,91
1976,85.2
1977,81
1978,87.8
1979,90.2
1980,62.8
1981,64
1982,65.4
1983,84.2
1984,94.4
1985,68.6
1986,82
1987,76
1988,50
1989,138.2
1990,88
1991,139.6
1992,128.2
1993,102
1994,101.8
1995,87.3
1996,64.7
1997,69.2
1998,97.6
1999,107.7
2000,86.7
2001,101.7
2002,83.3
2003,55.3
2004,78.2
2005,94.2
2006,63.5
2013,66
2014,78
2015,111.7
2016,58.9
2017,158.5
2018,72.5
2019,86.6
