UF,SC
Cidade,TIMBO GRANDE
Nome Posto,BURITI (TIMBO GRANDE)
Latitude,-26.555833333333332
Longitude,-50.60111111111111
Codigo,2650016
Qtd. Anos,41
Ano,Maxima
1976,41.4
1977,75
1978,68.6
1979,103
1980,98.6
1981,73.4
1982,90
1983,108.2
1984,97.4
1985,67.2
1986,105.3
1987,89.2
1988,81.2
1989,83.7
1990,70.8
1991,136.8
1992,112
1993,79.3
1994,61.8
1995,143
1996,103.5
1997,87.6
1998,96.5
1999,95.2
2000,83.7
2001,86.3
2002,83.1
2003,61.3
2004,73.5
2005,80
2006,71.5
2007,87.5
2008,68.9
2009,109.5
2010,120.3
2011,75
2012,106.3
2013,92.2
2014,154
2015,76
2017,56.2
