UF,SC
Cidade,VARGEM BONITA
Nome Posto,CAMPINA DA ALEGRIA
Latitude,-26.873333333333335
Longitude,-51.796388888888885
Codigo,2651001
Qtd. Anos,78
Ano,Maxima
1943,98.1
1944,47
1945,58.3
1946,88
1947,103.4
1948,81.8
1949,128.3
1950,56.3
1951,95
1952,83
1953,94
1954,98
1955,100
1956,121
1957,100
1958,98
1959,84
1960,92
1961,86
1962,110
1963,155
1964,105
1965,77
1966,81
1967,64
1968,50
1969,76
1970,137.6
1971,84
1972,97.4
1973,73.4
1974,90.7
1975,105.2
1976,118
1977,90.8
1978,75
1979,116.8
1980,79.2
1981,64.4
1982,137.1
1983,147.8
1984,108.4
1985,78.6
1986,80
1987,112.4
1988,62.6
1989,86.8
1990,124.4
1991,85.6
1992,118
1993,87.4
1994,99.2
1995,62.4
1996,104.3
1997,134.3
1998,104.2
1999,157.4
2000,114.6
2001,90.9
2002,97.1
2003,97.5
2004,67.8
2005,111
2006,116
2007,78.1
2008,67.4
2009,55.8
2010,112.6
2011,83.1
2012,71
2013,72.5
2014,158
2015,115
2016,64.4
2017,67.3
2018,92
2019,105.6
2020,80.8
