UF,SC
Cidade,IPORA DO OESTE
Nome Posto,IPORA
Latitude,-27.00138888888889
Longitude,-53.525555555555556
Codigo,2753013
Qtd. Anos,45
Ano,Maxima
1976,112.6
1977,92.6
1978,127.8
1979,82
1980,117.2
1981,96.4
1982,104.2
1983,157.6
1984,68.2
1985,87.4
1986,81.6
1987,119.6
1988,73.8
1989,87.4
1990,130.2
1991,125
1992,142
1993,84.6
1994,97.4
1995,74
1996,82.8
1997,94.4
1998,123.5
1999,89.5
2000,99.3
2001,96.5
2002,176.5
2003,94.1
2004,90
2005,160
2006,125
2007,130
2008,106
2009,123.9
2010,96.3
2011,100.8
2012,86.3
2013,141
2014,153.1
2015,114.5
2016,92.5
2017,138
2018,91
2019,89.8
2020,44.2
