UF,SC
Cidade,BRUSQUE
Nome Posto,BRUSQUE  (PCD)
Latitude,-27.100833333333334
Longitude,-48.918055555555554
Codigo,2748000
Qtd. Anos,78
Ano,Maxima
1941,72.1
1942,76.4
1943,66.8
1944,48.6
1945,51.7
1946,68.8
1947,58.3
1948,65.3
1949,60.3
1950,55.7
1951,55.2
1952,58.2
1953,56.6
1954,93.8
1955,67.8
1956,75.4
1957,79.6
1958,79.6
1959,61.4
1960,75.5
1961,100.7
1962,61.9
1963,190.8
1964,59.1
1965,39.9
1966,58.2
1968,57.2
1969,90
1970,70
1971,69
1972,109.4
1973,115
1974,100
1975,100.2
1976,146.8
1977,87.2
1978,135
1979,79.8
1980,63.6
1981,111.9
1982,60.7
1983,97
1984,91.8
1985,98.2
1986,90.7
1987,77.8
1988,46.8
1989,114.2
1990,84.2
1991,115.7
1992,52
1993,47.3
1994,96.7
1995,78.4
1996,77.8
1997,79.7
1998,100.2
1999,72.9
2000,69.6
2001,77.3
2002,89.5
2003,43.8
2004,30
2005,94.2
2006,109
2007,59.6
2008,109.5
2009,69
2010,92.4
2011,151.3
2012,104.3
2013,92.3
2014,105.5
2015,62.6
2016,77.9
2017,115
2018,63.5
2019,67.5
