UF,SC
Cidade,TIMBO
Nome Posto,TIMBO NOVO
Latitude,-26.829722222222223
Longitude,-49.27194444444444
Codigo,2649004
Qtd. Anos,91
Ano,Maxima
1929,82.9
1930,55.4
1931,95.9
1932,95.3
1933,66.4
1934,65
1935,115.7
1936,91.2
1937,93.2
1938,69.2
1939,71.8
1940,79.1
1941,49.8
1942,168
1943,66.9
1944,90.6
1945,67.2
1946,85.4
1947,88.7
1948,125.2
1949,64.2
1950,108.2
1951,61.3
1952,58.1
1953,59.9
1954,74
1955,85.2
1956,53.6
1957,60.2
1958,115.6
1959,65.8
1960,90.4
1961,114.5
1962,72.8
1963,66.4
1964,53.3
1965,91.9
1966,92.8
1967,95.2
1968,73.2
1969,62
1970,142.2
1971,73.6
1972,90.3
1973,58
1974,62.2
1975,100.8
1976,59.6
1977,80.2
1978,116.2
1979,100.3
1980,89.8
1981,54.8
1982,88.8
1983,111
1984,120
1985,79
1986,64.6
1987,90
1988,72.8
1989,88.4
1990,115.8
1991,100.2
1992,110.2
1993,79.4
1994,128
1995,101
1996,70.5
1997,80
1998,62.1
1999,120.5
2000,86.5
2001,112
2002,94.9
2003,49
2004,63.9
2005,68.9
2006,52.5
2007,79.7
2008,184.9
2009,85.4
2010,59.8
2011,78
2012,94.5
2013,68.2
2014,87.1
2015,124.2
2016,40
2017,82.7
2018,64
2019,60.8
