UF,SC
Cidade,LEOBERTO LEAL
Nome Posto,LEOBERTO LEAL
Latitude,-27.5075
Longitude,-49.2875
Codigo,2749034
Qtd. Anos,44
Ano,Maxima
1976,60.7
1977,100.4
1978,65.4
1979,77.4
1980,120.6
1981,91
1982,91.8
1983,83
1984,63
1985,67
1986,120.6
1987,59.3
1988,108.6
1989,75.7
1990,77.1
1991,85
1992,59.2
1993,79.5
1994,79.2
1995,106.3
1996,71.5
1997,88.2
1998,66.7
1999,63.8
2000,72.2
2001,104.4
2002,81.2
2003,92.2
2004,107.7
2005,90.4
2006,73.8
2007,67.1
2008,41.6
2009,98.6
2010,52.3
2011,130.4
2012,66.4
2013,74.6
2014,74.1
2015,85.3
2016,65.7
2017,117.5
2018,64.3
2019,69
