UF,SC
Cidade,CURITIBANOS
Nome Posto,PASSO MAROMBAS
Latitude,-27.333888888888886
Longitude,-50.75333333333333
Codigo,2750009
Qtd. Anos,63
Ano,Maxima
1958,58
1959,53
1960,66
1961,74.4
1962,98.4
1963,85.2
1964,89.6
1965,68.2
1966,79
1967,72.1
1968,52.3
1969,68.9
1970,72.6
1971,74.5
1972,88.7
1973,92
1974,51.9
1975,61.4
1976,72.3
1977,57.8
1978,59.3
1979,86.6
1980,128.6
1981,50.2
1982,84.5
1983,99.8
1984,117.3
1985,56.6
1986,52.7
1987,91.1
1988,44.8
1989,67.5
1990,88.8
1991,77.8
1992,104.2
1993,56
1994,100
1995,56.5
1996,81.8
1997,106.6
1998,94.8
1999,112.5
2000,60.6
2001,91.6
2002,87.4
2003,93.5
2004,108.6
2005,118.2
2006,62.7
2007,82.4
2008,73.3
2009,62.1
2010,92.7
2011,72.7
2012,130.5
2013,105.1
2014,107.8
2015,102.9
2016,67.2
2017,76.4
2018,61.5
2019,53.8
2020,21.3
