UF,SC
Cidade,SUL BRASIL
Nome Posto,JARDINOPOLIS
Latitude,-26.736944444444447
Longitude,-52.901666666666664
Codigo,2652021
Qtd. Anos,45
Ano,Maxima
1976,86.4
1977,64.3
1978,74.8
1979,100.7
1980,77.2
1981,85.4
1982,82.2
1983,140.4
1984,60.2
1985,79.8
1986,87.2
1987,98.2
1988,79.6
1989,70.4
1990,72.4
1991,132.4
1992,96.8
1993,115.2
1994,92.2
1995,79.3
1996,74.1
1997,100.6
1998,135.4
1999,80.6
2000,76
2001,101.8
2002,84.1
2003,140.9
2004,68.2
2005,104
2006,88.8
2007,117.8
2008,100
2009,69
2010,113
2011,150.2
2012,86.5
2013,98.1
2014,133
2015,131
2016,64.5
2017,88.6
2018,90.7
2019,58.7
2020,84.6
