UF,SC
Cidade,MELEIRO
Nome Posto,MELEIRO
Latitude,-28.83222222222222
Longitude,-49.63666666666666
Codigo,2849005
Qtd. Anos,78
Ano,Maxima
1942,45
1943,100
1944,58.4
1945,56.3
1946,72
1947,46
1948,56
1949,73.2
1950,75.4
1951,91.4
1952,46
1953,69.2
1954,72.4
1955,81.2
1956,73.7
1957,87.6
1958,75.3
1959,60.2
1960,78.7
1961,77
1962,82.2
1963,74.2
1964,53.4
1965,56.4
1966,75.8
1967,87.7
1968,63.8
1969,65.1
1970,64.3
1971,135
1972,93.4
1973,106.4
1974,130
1975,78.8
1976,74.8
1977,97.3
1978,108.7
1979,59
1980,98.4
1981,100.4
1982,55
1983,90
1984,60.2
1985,119
1986,69.2
1987,56.2
1988,72
1989,100
1990,94
1991,75
1992,90
1993,64
1994,75
1995,52
1996,67
1997,140
1998,101.3
1999,70.1
2000,119
2001,134.7
2002,72.5
2003,97.1
2004,83.7
2005,69.1
2006,88
2007,59.1
2008,101.1
2009,110
2010,99
2011,71.1
2012,93.7
2013,95.1
2014,59
2015,84.6
2016,113
2017,70
2018,105
2019,91
