UF,SC
Cidade,PAINEL
Nome Posto,PAINEL
Latitude,-27.913055555555555
Longitude,-50.031666666666666
Codigo,2750007
Qtd. Anos,63
Ano,Maxima
1958,72.4
1959,50
1960,77.2
1961,107.2
1962,52.2
1963,85.2
1964,59.2
1965,126.2
1966,69.2
1967,61.2
1968,68.2
1969,76.2
1970,53.2
1971,113.2
1972,66
1973,53
1974,66
1975,55
1976,85
1977,95
1978,100.4
1979,78
1980,62
1981,62.1
1982,132
1983,89
1984,88.6
1985,60.6
1986,87
1987,115.8
1988,69.2
1989,78.4
1990,86
1991,91.4
1992,100
1993,117
1994,76.2
1995,40.5
1996,56.2
1997,90.6
1998,100
1999,72.4
2000,99.2
2001,134.2
2002,58.4
2003,53.2
2004,57.8
2005,132.8
2006,55.1
2007,64.2
2008,47.2
2009,58.2
2010,110.2
2011,129.8
2012,71.2
2013,103.2
2014,73.1
2015,83.4
2016,71.4
2017,128.5
2018,62.4
2019,73.4
2020,11.3
