UF,SC
Cidade,NOVA TRENTO
Nome Posto,NOVA TRENTO
Latitude,-27.28638888888889
Longitude,-48.933055555555555
Codigo,2748002
Qtd. Anos,75
Ano,Maxima
1945,65.7
1946,195
1947,52.2
1948,100.3
1949,92.3
1950,96.2
1951,79.2
1952,84.2
1953,75.4
1954,104.4
1955,74.2
1956,135.3
1957,69.2
1958,70.6
1959,120.2
1960,220.4
1961,24.5
1962,24.3
1963,23.4
1964,22.4
1965,23.4
1966,23.6
1967,28
1968,15.6
1969,15.8
1970,15.4
1971,60.4
1972,90.6
1973,56.4
1974,119.1
1975,115.1
1976,70.7
1977,47.4
1978,125.2
1979,115.3
1980,98.1
1981,152.1
1982,60.6
1983,125
1984,96.2
1985,97.4
1986,97
1987,90.4
1988,34.2
1989,48.1
1990,28.1
1991,83.5
1992,75.9
1993,59.8
1994,85.7
1995,87.1
1996,28.9
1997,73
1998,90.7
1999,57.4
2000,84.4
2001,62.5
2002,62.8
2003,50.6
2004,124
2005,52.8
2006,26.8
2007,40.8
2008,134.8
2009,47.2
2010,40.2
2011,142.4
2012,136
2013,78.2
2014,110
2015,90
2016,82.5
2017,110.8
2018,70
2019,70
