UF,SC
Cidade,GOVERNADOR CELSO RAMOS
Nome Posto,GOVERNADOR CELSO RAMOS
Latitude,-27.319444444444443
Longitude,-48.56361111111111
Codigo,2748019
Qtd. Anos,42
Ano,Maxima
1976,72.2
1977,110
1978,115.4
1979,123.6
1980,62.6
1981,50.6
1982,72.8
1983,186.7
1984,118.4
1985,85.1
1986,45.5
1987,36.2
1988,34.4
1989,46.4
1990,46.2
1991,40.2
1992,30.2
1993,40.2
1994,54.1
1995,115.6
1996,111.8
1997,63.1
1998,89
1999,101.1
2000,65.7
2001,170.9
2002,75.4
2003,100.5
2004,180.7
2005,79.6
2006,90.6
2007,65.7
2008,146.8
2009,146.5
2010,95.6
2011,138.5
2012,87.5
2013,65.7
2014,89.3
2015,113.6
2016,130.8
2017,150.6
