UF,SC
Cidade,DIONISIO CERQUEIRA
Nome Posto,DIONISIO CERQUEIRA
Latitude,-26.269166666666667
Longitude,-53.6275
Codigo,2653002
Qtd. Anos,49
Ano,Maxima
1972,154.3
1973,86.2
1974,73.2
1975,88.2
1976,76
1977,97.2
1978,65
1979,110.2
1980,174.4
1981,121.2
1982,140.2
1983,149.2
1984,139
1985,66.3
1986,92
1987,149.4
1988,98.1
1989,99.1
1990,123
1991,97.1
1992,99.2
1993,137.1
1994,139
1995,108.3
1996,93.9
1997,94
1998,112.9
1999,77.5
2000,81.4
2001,135.9
2002,145.9
2003,108
2004,90
2005,103.4
2006,71.1
2007,94.8
2008,112
2009,62
2010,168.7
2011,77.7
2012,100.3
2013,117.7
2014,177.3
2015,106.8
2016,128.5
2017,174.8
2018,98.9
2019,116.2
2020,89.9
