UF,SC
Cidade,MAJOR VIEIRA
Nome Posto,SALTO CANOINHAS
Latitude,-26.370555555555555
Longitude,-50.29083333333333
Codigo,2650000
Qtd. Anos,56
Ano,Maxima
1951,70
1952,89
1953,94
1964,75.2
1965,61.9
1966,86.4
1967,96.2
1968,40.6
1969,97.1
1970,60.4
1971,69.4
1972,76.4
1973,98.3
1974,105.2
1975,75.4
1976,67.8
1977,47.5
1978,100.4
1979,125.4
1980,89.1
1981,76.2
1982,69.2
1983,79.3
1984,94.8
1985,67.1
1986,67.9
1987,76.7
1988,71
1989,70.9
1990,92.1
1991,91.3
1992,144
1993,94.2
1994,78.5
1995,101.8
1996,116.3
1997,107.4
1998,75.8
1999,77.5
2000,84.8
2001,97.2
2002,72.3
2003,77.2
2004,85.5
2005,81.1
2006,56.7
2007,86.5
2008,66.5
2009,137.6
2010,78.4
2011,91
2012,113.1
2013,93.7
2014,175
2015,55.5
2017,81.5
