UF,SC
Cidade,SAO LOURENCO DO OESTE
Nome Posto,SAO LOURENCO DO OESTE
Latitude,-26.400277777777777
Longitude,-52.89555555555555
Codigo,2652031
Qtd. Anos,44
Ano,Maxima
1976,39.2
1977,80.8
1978,72.6
1979,141.2
1980,91.4
1981,65.3
1982,100
1983,112
1984,105
1985,69
1986,88
1987,82
1988,94
1989,92
1990,134
1991,84
1992,101.9
1993,79.3
1994,104
1995,94.2
1996,90
1997,155
1998,154.6
1999,84
2000,98.3
2001,93
2002,93
2003,130.2
2004,72.3
2005,145
2006,109
2007,86.7
2008,98.6
2009,86.4
2010,88.4
2011,88
2012,103
2013,143.3
2014,155.1
2015,125.2
2016,118.2
2017,108
2018,101.2
2019,117
