UF,SC
Cidade,BOCAINA DO SUL
Nome Posto,BOCAINA DO SUL
Latitude,-27.753611111111113
Longitude,-49.96388888888889
Codigo,2749035
Qtd. Anos,45
Ano,Maxima
1976,115.2
1977,95.2
1978,60
1979,108.4
1980,127.4
1981,48.2
1982,53.9
1983,90.2
1984,122
1985,48.8
1986,109.8
1987,81.6
1988,94.6
1989,77.2
1990,66.2
1991,62.2
1992,92.6
1993,141.4
1994,72.2
1995,61.4
1996,83.4
1997,108.2
1998,100.9
1999,79.4
2000,91.4
2001,152.5
2002,63.2
2003,68.9
2004,92
2005,122
2006,84.5
2007,66.3
2008,75
2009,56.8
2010,61.2
2011,86
2012,96.3
2013,96.5
2014,74.4
2015,96
2016,73.3
2017,173.8
2018,55.7
2019,48.5
2020,37
