UF,SC
Cidade,ANITAPOLIS
Nome Posto,ANITAPOLIS
Latitude,-27.90972222222222
Longitude,-49.12972222222222
Codigo,2749027
Qtd. Anos,48
Ano,Maxima
1972,170.4
1973,122.4
1974,73
1975,74.4
1976,52.2
1977,128.4
1978,112
1979,77.8
1980,154
1981,92
1982,68.8
1983,101
1984,75.6
1985,102.4
1986,108.6
1987,108.4
1988,61.8
1989,83.6
1990,85.2
1991,79.4
1992,62.2
1993,84.2
1994,95.6
1995,155
1996,121.3
1997,117.2
1998,96.5
1999,88.3
2000,95.2
2001,132.3
2002,82
2003,64.6
2004,33.2
2005,96
2006,99
2007,49
2008,125
2009,94
2010,114.4
2011,112.5
2012,79.8
2013,90.5
2014,91
2015,76.5
2016,101.6
2017,96.3
2018,62.3
2019,48.4
