UF,SC
Cidade,CAPINZAL
Nome Posto,CAPINZAL
Latitude,-27.342222222222222
Longitude,-51.608333333333334
Codigo,2751012
Qtd. Anos,45
Ano,Maxima
1976,55
1977,105
1978,56.2
1979,71.2
1980,101.2
1981,76.2
1982,75.3
1983,125.2
1984,79.8
1985,62.1
1986,94
1987,88.8
1988,55
1989,88.8
1990,158.6
1991,94.6
1992,107.3
1993,53
1994,101.2
1995,69.9
1996,74.6
1997,106
1998,113
1999,132.4
2000,72.2
2001,81.1
2002,85.8
2003,79.6
2004,72.1
2005,102.7
2006,68.5
2007,88.1
2008,97.2
2009,84.6
2010,100
2011,98.5
2012,73.7
2013,74.7
2014,136.1
2015,121.1
2016,99.4
2017,138
2018,138
2019,57.2
2020,29.6
