UF,SC
Cidade,ANGELINA
Nome Posto,GARCIA DE ANGELINA
Latitude,-27.485833333333336
Longitude,-48.98694444444445
Codigo,2748003
Qtd. Anos,75
Ano,Maxima
1945,38
1946,40.5
1947,59.6
1948,113.4
1949,110
1950,84.1
1951,53.4
1952,73.3
1953,37.9
1954,85.3
1955,53.7
1956,74.2
1957,70.5
1958,49.1
1959,56.2
1960,147.4
1961,129.2
1962,67.4
1963,91.2
1964,61.4
1965,82.1
1966,71.2
1967,85.3
1968,73.3
1969,54.3
1970,58.2
1971,95.2
1972,123.6
1973,81.6
1974,73
1975,86.4
1976,57.4
1977,153.4
1978,105.6
1979,66.4
1980,117.2
1981,76.4
1982,66.6
1983,84.4
1984,105.4
1985,65.2
1986,97
1987,86
1988,66.4
1989,77.4
1990,63.2
1991,97.8
1992,73.6
1993,67.5
1994,69.5
1995,117.2
1996,53.5
1997,96.3
1998,159.2
1999,67.6
2000,91.5
2001,124.1
2002,72.3
2003,66.4
2004,76.4
2005,86.8
2006,70.6
2007,74.6
2008,112
2009,70.5
2010,80.4
2011,130.5
2012,59.8
2013,110.4
2014,90.3
2015,76.3
2016,75.4
2017,86.2
2018,82.5
2019,72.8
